【惊抓抓】	【惊<抓抓>】	形容声音尖利刺耳，或大惊小怪的样子
【克】	【{克(去)}】	"去的意思，同""去"""
【洗白】	【<洗>白】	①完蛋、没了 ②输光、赔光
【崽儿】	【崽儿】	①小子（带亲昵或轻蔑）②年轻人
【扯拐】	【扯<拐>】	出故障、出问题（多指机械）
【相因】	【<相因>】	便宜、价格低廉
【紧到】	【紧到】	一直、不停地（表持续状态）
【琛直】	【<琛>直】	"笔直、非常直（""琛""表程度深）"
【除脱】	【<除>脱】	①丢失、没了 ②解决（人或事）
【朗个】	【朗个】	怎么、如何（疑问词）
【飞叉叉】	【飞<叉叉>】	形容动作迅速、风风火火的样子
【烦造造】	【烦<造造>】	非常脏、邋遢不堪
【扭】	【扭】	①扭动身体 ②反复摆弄
【捞肠寡肚】	【<捞>肠<寡>肚】	胃里难受、反胃想吐
【搭扑爬】	【<搭扑爬>】	摔跤、跌倒在地
【假巴意思】	【假<巴>意思】	 假装、故作姿态
【水凼凼】	【水凼凼】	小水坑、积水洼
【俗杂杂】	【俗<杂杂>】	俗气、土里土气
【亮瓦瓦】	【亮<瓦瓦>】	非常光亮、亮得刺眼
【梭边边】	【梭边边】	溜边、逃避责任
【理麻】	【理麻】	教训、收拾（某人）
【各人】	【各人】	自己、本人
【俩】	【{俩(你)}】	你（第二人称代词）
【鬼火戳】	【<鬼>火<戳>】	非常生气、火冒三丈
【板扎】	【<板扎>】	扎实、质量好
【弯酸】	【<弯>酸】	刁难、故意为难人
【扯把子】	【扯<把>子】	说谎、编造借口
【灯儿晃】	【<灯儿>晃】	闲逛、无所事事
【楼得很】	【<楼>得很】	很脏、满是污垢
【踏削】	【<踏削>】	贬低、看不起人
【哈哈】	【哈哈】	大家、所有人
【雄起】	【雄起】	加油、振作精神
【舌老】	【舌{老(了)}】	丢失、不见了
【登度】	【<登度>】	形容男孩帅气、俊朗
【嘿起】	【<嘿起>】	使劲、用力
【火瞟瞟】	【火<瞟瞟>】	灼痛感、火辣辣的疼
【矿西西】	【<矿西西>】	糊涂、神志不清
【瞎块儿】	【<瞎块>儿】	青蛙（方言称呼）
【巢冲】	【巢{冲(虫)}】	蛔虫（方言称呼）
【客西头儿】	【<客西>头儿】	膝盖
【手倒管儿】	【手<倒>管儿】	手肘
【啪唧唧】	【啪<唧唧>】	软绵绵、松软状
【杀铁】	【<杀铁>】	打扫、清理
【先浑儿】	【先<浑>儿】	刚才、不久前
【过细】	【<过>细】	仔细、认真
【估倒犟】	【<估倒>犟】	固执己见、强词夺理
【歪货】	【歪货】	假货、劣质品
【老火】	【<老火>】	严重、麻烦
【罗兜】	【<罗兜>】	屁股（多指人）
【开腔】	【开腔】	说话、开口
【皮搭嘴歪】	【皮<搭>嘴歪】	累得精疲力尽的样子
【惊风火扯】	【<惊>风火<扯>】	惊慌失措、大呼小叫
【张视】	【<张视>】	搭理、理会
【呜嘘呐喊】	【<呜嘘>呐喊】	大声喧哗、吵吵嚷嚷
【磨皮擦痒】	【磨皮擦痒】	坐立不安、闲不住
【遭奏】	【<遭奏>】	被整、被弄坏
【巴适得板】	【巴适得板】	非常舒服、极其安逸
【哈戳戳】	【哈<戳戳>】	傻乎乎、呆头呆脑
【耍朋友】	【耍朋友】	谈恋爱
【憨吃哈胀】	【憨吃哈胀】	暴饮暴食、胡吃海塞
【嘎嘎】	【<嘎嘎>】	肉（儿语）
【揩】	【揩】	擦、抹
【洗涮】	【{洗涮(戏耍)}】	嘲笑、戏弄
【勒哈】	【{勒(那)}哈】	这下、现在
【丁丁猫儿】	【<丁丁>猫儿】	蜻蜓
【格蚤儿】	【<格>蚤儿】	跳蚤
【高耸耸】	【高耸耸】	很高、高耸状
【低低嘎嘎】	【低低<嘎嘎>】	很少、一点点
【念栋栋】	【{念(黏)}<栋栋>】	黏糊糊、粘稠状
【爪瞌睡】	【<爪>瞌睡】	打瞌睡
【款到老】	【款到{老(了)}】	碰到、撞到
【雀到】	【{雀(瞧)}到】	看到、瞧见
【板旋儿】	【板旋儿】	耍赖、抵赖
【拼】	【<拼>】	①送 ②给（东西）
【索索滩儿】	【<索索>滩儿】	滑梯（儿童设施）
【将才】	【{将(刚)}才】	刚才
【呛哈子】	【呛哈子】	呛到、噎住
【板痧】	【板<痧>】	在椅子上扭动
【精风活扯】	【精风活扯】	精神亢奋、活蹦乱跳
【耙耳朵】	【{耙(怕)}耳朵】	怕老婆的人
【少午】	【少午】	午饭
【撇脱】	【<撇脱>】	方便、省事
【鼓到】	【<鼓>到】	强迫、硬要
【落教】	【<落>教】	靠谱、守规矩
【过孽】	【过孽】	吵架、闹矛盾
【行实】	【行实】	能干、厉害
【千帆】	【<千帆>】	调皮、不听话
【啷个】	【{啷(哪)}个】	怎么、为什么
【核人巴煞】	【{核(吓)}人<巴煞>】	吓人、恐怖
【乌二麻杂】	【<乌>二麻杂】	乱七八糟、混乱不清
【舞饭】	【<舞>饭】	做饭、弄饭
【打落】	【打落】	遗失、掉落
【冲壳子】	【冲壳子】	吹牛、说大话
【安逸惨咯】	【安逸惨咯】	非常舒服、极其享受
【假打】	【假<打>】	装模作样、假惺惺
【瓜兮兮】	【瓜兮兮】	傻乎乎的样子
【骇子】	【{骇(鞋)}子】	鞋子
【扯谎咧白】	【扯谎<咧>白】	说谎骗人
【甜咪咪】	【甜咪咪】	甜丝丝、微甜
【尖板眼】	【尖板眼】	新奇玩意、高科技产品
【倒拐】	【倒<拐>】	转弯
【打梦脚】	【打<梦脚>】	打瞌睡、精神不集中
【背时】	【背时】	倒霉、活该
【你娃】	【你<娃>】	你这家伙（带戏谑）
【兄弟伙】	【兄弟伙】	好兄弟、哥们
【杂皮】	【<杂>皮】	小混混、流氓
【告花子】	【告花子】	乞丐
【哨皮】	【<哨>皮】	丢脸、出丑
【麻脱】	【麻脱】	推脱、逃避
【冒皮皮】	【<冒>皮皮】	吹牛、说大话
【闷墩】	【闷<墩>】	呆头呆脑的人
【搁平】	【搁平】	摆平、解决
【打锤】	【打锤】	打架
【神戳戳】	【神<戳戳>】	神经兮兮
【要得】	【要{得(的)}】	好的、可以
【渠算儿】	【<渠算>儿】	蚯蚓
【雀雀儿】	【雀雀儿】	小鸟
【爪母儿】	【{爪母(蚱蜢)}儿】	蚱蜢
【偷油婆】	【偷油婆】	蟑螂
【照鸡儿】	【照鸡儿】	蛐蛐儿
【雾独独】	【雾<独独>】	冷不防、突然
【打王逛】	【打<王逛>】	走神、注意力不集中
【副开】	【<副>开】	移开、挪走
【嘿】	【{嘿(很)}】	非常、很（程度副词）
【杯话】	【杯话】	不听话、叛逆
【吱】	【<吱>】	擦拭
【婆娘】	【婆娘】	老婆
【决】	【<决>】	骂
【长的乖】	【长的乖】	长得漂亮
【歇】	【<歇>】	哭
【脚入老】	【脚入{老(了)}】	脚崴了
【背油】	【背油】	郁闷、烦躁
【菊】	【<菊>】	吮吸
【西得好】	【{西(幸)}得好】	幸好、幸亏
【恍兮兮】	【恍兮兮】	精神恍惚、迷糊不清醒
【三不子儿滴】	【三不<子>儿<滴>】	偶尔、时不时地
【黄泥西湖】	【黄泥西湖】	含混不清、表达混乱
【岔巴子】	【岔巴子】	多嘴多舌、爱管闲事的人
【掉底子】	【掉底子】	丢脸、出丑
【边哈】	【边哈】	旁边、附近
【扎起】	【<扎>起】	支持、撑腰
【打平伙】	【打平伙】	AA制聚餐
【半响】	【半响】	半天、许久
【潽】	【潽】	液体沸腾溢出
【肿脖子】	【肿脖子】	好吃懒做
【渣精】	【<渣>精】	挑剔、斤斤计较
【哈数】	【哈数】	分寸、把握
【暗到】	【暗到】	暗自以为、私下猜想
【匀尽】	【<匀尽>】	舒适安逸、小富即安
【柳到】	【{柳(扭)}到】	纠缠、缠住不放
【拽实】	【拽实】	结实健壮
【想精想怪】	【想精想怪】	胡思乱想、异想天开
【恍儿胡兮】	【恍儿<胡><兮>】	糊涂健忘、丢三落四
【假把意思】	【假<把>意思】	装模作样、假客气
【瞌睡迷西】	【瞌睡迷<西>】	睡眼惺忪、困倦不堪
【财迷豁眼】	【财迷<豁>眼】	财迷心窍、吝啬小气
【牙尖舌怪】	【牙尖舌怪】	伶牙俐齿、爱搬弄是非
【踏踏】	【<踏踏>】	地方、处所
【半中拦腰】	【半中拦腰】	中途、半截
【麻麻咋咋】	【{麻麻(马马)}咋咋】	马马虎虎、将就
【洋】	【洋】	得意洋洋、显摆
【咔咔戈戈】	【<咔咔戈戈>】	角落缝隙
【幺妹儿】	【幺妹儿】	小妹、小姑娘
【光洞洞】	【光<洞洞>】	光着身子、衣不蔽体
【拐场】	【<拐>场】	糟糕、出问题
【摆龙门阵】	【摆龙门阵】	聊天闲谈
【倒拐子】	【倒<拐>子】	手肘
【打脑壳】	【打脑壳】	头疼、棘手
【岔巴】	【岔巴】	插嘴、多话
【弄归一】	【弄归一】	办妥、完成
【刹角】	【刹角】	收尾、结束
【裹筋】	【裹筋】	纠缠不休、磨叽
【么斯】	【<么斯>】	什么（武汉方言）
【铆起】	【<铆>起】	拼命、使劲
【少吃哈胀】	【<少>吃哈胀】	狼吞虎咽（程度较轻）
【嘀哆】	【<嘀哆>】	唠叨、啰嗦
【闹眼子】	【闹<眼子>】	闹着玩、不正经
【过早】	【过早】	吃早餐（湖北方言）
【闷出出】	【闷<出出>】	沉默寡言
【尾哒】	【尾<哒>】	跟着、尾随
【翻敲】	【翻<敲>】	反悔、变卦
【不服周】	【不服<周>】	不服气（湖北方言）
【刹割】	【<刹割>】	结束、停止
【灵醒】	【灵<醒>】	聪明伶俐
【一哈】	【一{哈(下)}】	一会儿、一下子
【归一】	【<归>一】	完成、了结
【虾爬】	【<虾爬>】	小混混、无赖
【遇得到】	【遇得到】	真倒霉（表抱怨）
【杀馆子】	【{杀(下)}馆子】	下馆子吃饭
【龙豁皮】	【龙<豁>皮】	土里土气、不入流
【空哨】	【空哨】	聪明机灵
【棱】	【<棱>】	①用手指理顺 ②夹取
【方脑壳】	【方脑壳】	死脑筋、不灵活
【少幺爸】	【<少幺>爸】	小混混、街溜子
【划得着】	【划得着】	划算、值得
【菜背兜】	【<菜>背<兜>】	垫背的、总输的人
【霸道】	【霸道】	厉害、了不起
【巴心不得】	【巴心不得】	巴不得、非常希望
【该背时】	【该背时】	活该倒霉
【二麻二麻】	【二<麻>二<麻>】	半醉状态
【呵别个】	【<呵>别个】	骗人
【瓜娃子】	【瓜娃子】	傻子（较亲昵）
【旷老】	【旷{老(了)}】	傻了、懵了
【划不着】	【划不着】	不划算、吃亏
【估倒】	【估<倒>】	强迫、硬要
【造孽】	【造孽】	可怜
【该遭】	【该遭】	活该
【嘿们】	【<嘿>们】	非常、很（程度副词）
【金啊子】	【金<啊子>】	知了
【哈老壳】	【哈{老(脑)}壳】	脑袋
【瞎孔】	【<瞎孔>】	胳肢窝
【座登儿】	【座登儿】	猪屁股（多指动物）
【逛】	【{逛(光)}】	光溜溜
【短处处】	【短<处处>】	很短的样子
【灯晃】	【灯<晃>】	闲逛、游手好闲
【共过来】	【<共>过来】	挤过来
【不扭老】	【不扭{老(了)}】	不动了
【俺到】	【<俺>到】	估计、以为
【调】	【<调>】	跑
【扯扑汗】	【扯扑<汗>】	打呼噜
【挖爪】	【<挖爪>】	肮脏
【喱】	【<喱>】	用脚碾踩
【逞下去】	【<逞>下去】	压下去
【壁】	【<壁>】	过滤
【哈哈儿】	【哈哈儿】	马上、一会儿
【肥咚咚】	【肥<咚咚>】	胖乎乎
【麻】	【<麻>】	骗
【记倒】	【记{倒(到)}】	记住
【男娃儿】	【男娃儿】	男孩
【爪球】	【<爪>球】	踢球
【嫩个】	【{嫩(那)}个】	这么
【打望】	【打望】	看美女
【装莽】	【装莽】	装傻
【莫搞豪】	【莫搞<豪>】	别乱来
【堂客】	【堂客】	老婆（湖南方言）
【回切】	【回{切(去)}】	回去
【郎个呦台哦】	【<郎>个<呦>台哦】	怎么得了（表担忧）
【拈菜】	【<拈>菜】	夹菜
【斗室】	【{斗室(就是)}】	就是
【对头】	【对头】	正确
【霸道惨老】	【霸道惨{老(了)}】	厉害极了
【清候】	【清候】	收拾、教训
【搭巴巴车】	【搭{巴巴(便便)}车】	搭便车
【洋气】	【洋气】	时髦、得意
【好黑人】	【好{黑(吓)}人】	好吓人
【黑哈】	【{黑(很)}哈】	很傻
【扫皮】	【<扫>皮】	丢脸
【搭飞白】	【搭飞<白>】	搭讪
【莫恁个】	【莫<恁>个】	别这样
【撒子】	【<撒>子】	什么
【油济济】	【油<济济>】	油乎乎
【款到】	【<款>到】	碰到
【孩子等等儿】	【{孩(鞋)}子等等儿】	鞋跟
【恩脚】	【<恩>脚】	硌脚
【古】	【古】	猜
【车笔刀】	【<车>笔刀】	卷笔刀
【哈猴】	【哈猴】	变质、变味
【里骂】	【里骂】	责备
【甲甲】	【<甲甲>】	身上污垢
【排轮子】	【排<轮>子】	排队
【债起】	【<债>起】	缝补
【哦尿尿】	【哦尿尿】	撒尿（儿语）
【喝开开】	【喝<开开>】	喝水（儿语）
【睡告告】	【睡<告告>】	睡觉（儿语）
【筐歪歪】	【筐<歪歪>】	哄睡（儿语）
【搞拢巧】	【搞<拢>巧】	碰巧、凑巧
【赌底】	【赌<底>】	打赌
【手倒拐】	【手倒<拐>】	胳膊肘
【阴到】	【<阴>到】	偷偷地
【憨吃哈账】	【<憨>吃哈账】	胡吃海塞
【玄皮寡脸】	【玄皮<寡>脸】	厚着脸皮
【有盐有味】	【有盐有味】	生动有趣
【吹扑打鼾】	【吹<扑>打鼾】	打鼾很响
【八颗八颗】	【八颗八颗】	大颗滴落（指汗水）
【鬼冒火】	【<鬼>冒火】	非常生气
【水垮垮】	【水<垮垮>】	不靠谱
【莫鬼款】	【莫鬼<款>】	别胡说
【七】	【{七(吃)}】	吃（湖北方言）
【孔雀】	【<孔雀>】	爱管闲事
【热豁】	【热<豁>】	热乎
【绷起】	【<绷>起】	端着架子
【区马打黑】	【区马打黑】	脏兮兮
【称头】	【<称>头】	体面、像样
【冰欠】	【冰<欠>】	冰凉解渴
【杀刮立正】	【杀刮立正】	衣着笔挺
【一哈哈】	【一哈哈】	一会儿
【年辰】	【年辰】	年头、时间久
【憨包】	【<憨>包】	傻瓜
【zhua】	【<zhua>】	踢
【龟儿子】	【龟儿子】	龟孙子（骂人）
【宝器】	【宝器】	傻里傻气
【喀喀】	【<喀喀>】	角落
【称透】	【<称>透】	工整美观
【得行】	【得行】	能干、可以
【超】	【超】	时髦、帅气
【耿直】	【耿直】	爽快义气
【汗爬水流】	【汗<爬>水流】	大汗淋漓
【扯得狠】	【<扯>得狠】	吹牛夸张
【捡粑合】	【捡<粑>合】	捡便宜
【霉子】	【霉子】	托儿
【耙和】	【<耙>和】	便宜
【不开腔】	【不开<腔>】	不吭声
【哪点】	【哪点】	哪里
【走帕】	【走<帕>】	拖把
【紧着】	【紧着】	老是、总是
【垮起】	【<垮>起】	板着脸
【叮叮猫】	【叮叮猫】	蜻蜓
【恼火】	【<恼>火】	麻烦
【踏血】	【<踏血>】	贬低、诋毁
【遭不住】	【<遭>不住】	受不了
【打偏偏】	【打偏偏】	走路摇晃
【鬼款】	【<鬼款>】	胡说八道
【告一盘】	【告一盘】	试一下
【龟儿】	【龟儿】	小子（蔑称）
【喀喀头】	【<喀喀>头】	角落里
【脑壳】	【脑<壳>】	脑袋
【哈批戳戳】	【哈批<戳戳>】	傻乎乎
【刹一脚】	【刹一脚】	停车（重庆方言）
【莫搞毫】	【莫搞<毫>】	别乱动
【背兜】	【背兜】	背篓
【送菜】	【送菜】	当炮灰、垫背
【飞起】	【飞起】	飞快地
【捡撇脱】	【捡<撇脱>】	捡现成
【遇得倒哦】	【遇得倒哦】	真倒霉
【安死老】	【{安(淹)}死{老(了)}】	淹死了
【哦货】	【哦货】	完蛋
【哈】	【{哈(下)}】	下、次（量词）
【莽进去】	【<莽>进去】	喂进去
【嗨得】	【<嗨>得】	能吃
【咔】	【咔】	掐
【扒到】	【扒到】	紧挨
【翻羊角砖儿】	【翻羊角砖儿】	翻跟头
【瓦饭】	【<瓦>饭】	舀饭
【卡过来】	【卡过来】	跨过来
【咔咔各各】	【咔咔各各】	各个角落
【王chuachua】	【王<chuachua>】	无所事事
【窝料】	【窝{料(尿)}】	撒尿
【勒里】	【勒里】	这里
【卡卡各各】	【卡卡各各】	各个角落
【低低噶噶儿】	【低低<噶噶>儿】	一点点
【闹热】	【闹热】	热闹
【咩】	【<咩>】	掰
【杀一脚】	【<杀>一脚】	停车
【夺】	【<夺>】	顶、戳
【装起】	【装起】	补上
【仙人板板】	【仙人<板板>】	祖宗（表无奈）
【瓜西西】	【瓜西西】	傻傻的
【安逸】	【安<逸>】	舒服
【切】	【{切(去)}】	去
【吹垮垮】	【吹<垮垮>】	闲聊
【登读】	【<登读>】	块头大
【吃莽莽】	【吃<莽莽>】	吃饭（儿语）
【啥子】	【<啥>子】	什么
【琛】	【{琛(真)}】	   真（程度副词）
【咳】	【<咳>】	咳嗽
【雀】	【老汉儿】	 瞧
【老汉儿】	【{雀(瞧)}】	①父亲 ②老公（带调侃）
【欺头】	【欺头】	便宜、好处
【洗刷】	【<洗>刷】	讽刺、嘲弄、让人难堪
【不存在】	【不存在】	没问题、没关系、别客气
【妖艳儿】	【妖艳儿】	形容人爱打扮、臭美、作怪
【巴心巴肠】	【<巴>心<巴>肠】	全心全意、掏心掏肺地对人好
【舔口舔嘴】	【舔口舔嘴】	吃完东西意犹未尽的样子
【撒窝子】	【撒窝子】	①钓鱼前投饵料做窝 ②引申为办事前铺垫、打基础
【占欺头】	【占欺头】	占便宜，特指在辈分、言语上占人便宜
【吃豁皮】	【吃<豁>皮】	吃白食、占便宜
【打牙祭】	【打牙<祭>】	改善伙食，吃好吃的
【幺不到台】	【<幺>不到台】	不得了、下不了台（形容事情严重或人很嚣张）
【不摆了】	【不摆了】	①好得没法说 ②不想说了
【哦豁】	【哦<豁>】	语气词，完蛋了、糟糕了（表达惋惜或遗憾）
【搞啥子名堂】	【搞啥子名堂】	搞什么鬼？干什么呢？
【蛮扎实】	【蛮<扎>实】	很厉害、很强（武汉方言）
【糟逼】	【糟<逼>】	形容人狼狈、窘迫的样子（云南方言）
【脖子】	【脖子】	拳头（云南方言，如“一脖子甩过来”）
【嘈耐】	【嘈<耐>】	恶心、令人反感（云南方言）
【咯得】	【咯得】	是不是
【尖刚】	【尖刚】	形容人聪明、机灵
【囔囔】	【<囔囔>】	肉（云南方言，儿语或调侃）
【喏喏】	【<喏喏>】	对，是的（表示同意）
【咋个整】	【咋个<整>】	怎么办
【厮儿】	【<厮>儿】	小子（带轻蔑或戏谑）
【皮皮翻翻】	【皮皮翻翻】	形容物品起皱、不平整或事情纠缠不清
【得闲】	【得闲】	有空
【泼烦】	【<泼>烦】	烦躁、讨厌
【茅厮】	【茅<厮>】	厕所
【扎米】	【<扎米>】	吃饭（贵州部分地区，调侃或儿语）
【<拉稀摆带>】	【<拉稀摆带>】	形容做事拖拉、不果断或关键时刻掉链子
【弯拐】	【弯<拐>】	①弯曲的地方 ②心眼多、不直爽
【嘘慌】	【嘘<慌>】	别慌、慢点
【张张】	【张张】	纸
【皮绊】	【皮绊】	麻烦、纠纷
【血股拎裆】	【<血>股<拎>裆】	血淋淋的
【客麻】	【{客麻(蛤蟆)}】	青蛙
【茅草】	【{茅(毛)}草】	形容人做事毛躁、不细心
【滇滇】	【<滇滇>】	看看、瞧一瞧
【款天】	【<款>天】	聊天、吹牛
【颠东】	【<颠东>】	糊涂、记性差
【二天】	【二天】	以后、改天
【渣哇】	【<渣>哇】	吵闹、喧哗
【韶得很】	【{韶(骚)}得很】	形容人爱卖弄、显摆
【做活路】	【做活路】	干活、工作
【苞谷】	【苞谷】	玉米
【霸蛮】	【<霸蛮>】	拼命、硬来
【里手】	【里手】	内行、专家
【了难】	【<了难>】	解决问题、摆平麻烦
【呷】	【<呷>】	吃（湖南方言）
【何解】	【何解】	为什么、怎么回事
【妹陀】	【妹<陀>】	小姑娘
【满哥】	【<满>哥】	小伙子
【灵泛】	【<灵泛>】	聪明、灵活
【得路】	【得路】	捡便宜、得好处
【下皮】	【下皮】	下流、无耻
【耍拉】	【<耍>拉】	利索、快一点
【讲口】	【讲口】	吵架
【浮子】	【<浮>子】	毛巾
【摸坨】	【{摸(磨)}坨】	磨蹭、动作慢
【筐瓢】	【<筐瓢>】	搞砸了、失误
